Accounts;Space usage
fkirfel;71.789
okiverny;37.146
amelzer;35.075
ckirfel;22.895
fdiazcap;21.566
nakolkar;14.398
abandyop;13.060
shbansal;12.917
bauerpa;12.446
lherrman;12.134
phkoenig;11.171
cnass;10.221
mihuebne;7.672
fdiazcap,fkirfel;7.637
fbeisieg;7.278
obut;5.648
bauerpa,bauerpa;3.534
htorres;0.678
cdeutsch;0.546
pfalke;0.287
cvergis;0.284
fdiazcap,nakolkar;0.193
nakolkar,fdiazcap;0.141
psabatin;0.124
ddmadmin;0.103
jpampel;0.078
None;0.074
panda;0.066
okiverny,ckirfel;0.011
ckirfel,okiverny;0.002
root;0.000
cgrefe;0.000
